5,10,15
3.8,4.8,4.5
2.8,3.6,4.0
5.0,5.8,4.55
5.4,4.9,3.65
5.6,5.0,4.8
6.4,3.5,4.35
4.8,3.6,4.85
6.2,5.5,4.25
3.8,4.2,4.25
4.2,3.6,4.3
4.2,3.8,5.55
4.0,4.6,3.6
5.2,3.7,5.0
2.4,4.4,4.65
5.0,3.9,5.2
3.8,4.6,4.5
5.2,3.7,3.75
6.4,3.5,4.3
2.6,4.4,4.4
4.8,4.3,4.55
5.4,5.7,5.1
5.0,5.1,4.15
4.8,4.9,3.75
5.4,5.1,5.2
2.8,6.0,4.45
2.6,5.0,4.4
3.6,5.6,4.35
4.0,4.5,3.9
3.8,5.1,4.55
3.0,5.0,4.0
4.0,4.1,4.05
6.2,5.3,3.95
6.6,5.0,3.85
3.8,3.3,4.1
3.8,4.3,3.15
3.4,4.7,4.35
4.0,4.5,4.55
3.6,4.3,3.9
2.6,4.6,4.55
3.4,5.2,5.05
4.2,5.0,3.85
5.6,3.8,4.0
4.8,4.7,4.35
4.4,5.1,5.0
4.0,5.1,4.4
5.2,4.2,4.7
5.4,5.5,5.2
4.4,3.1,4.15
5.6,4.4,4.55
5.0,4.5,4.8
4.8,4.5,
5.8,4.5,
4.6,3.8,
3.6,4.6,
2.8,4.3,
3.6,5.7,
5.0,4.0,
4.4,4.2,
4.0,3.5,
2.8,4.2,
1.4,4.8,
3.2,4.7,
3.6,4.0,
4.4,4.7,
5.4,4.9,
4.6,4.5,
4.8,3.7,
4.0,4.3,
6.4,5.1,
3.6,4.1,
4.2,5.0,
2.8,3.4,
5.6,2.7,
6.2,4.0,
3.6,4.8,
5.0,5.4,
3.8,4.5,
2.4,5.0,
4.0,4.6,
4.4,3.8,
5.6,4.9,
3.4,5.3,
7.0,5.4,
3.6,4.9,
4.4,4.5,
5.4,4.4,
4.0,4.6,
4.0,4.3,
3.8,5.1,
5.0,4.9,
4.0,4.5,
4.0,4.0,
5.2,4.9,
5.0,3.6,
3.8,3.3,
4.0,2.8,
3.8,5.2,
4.4,4.5,
3.6,4.6,
5.8,3.7,
3.4,,
3.6,,
4.0,,
6.4,,
6.0,,
2.8,,
4.6,,
4.8,,
4.8,,
5.6,,
3.2,,
5.0,,
4.0,,
4.4,,
3.6,,
5.4,,
3.6,,
3.6,,
3.6,,
3.6,,
3.6,,
4.0,,
5.8,,
4.0,,
4.8,,
5.4,,
5.0,,
3.4,,
4.0,,
6.6,,
5.2,,
5.4,,
6.4,,
2.4,,
4.2,,
4.0,,
5.6,,
4.6,,
5.2,,
4.2,,
4.2,,
5.0,,
4.8,,
3.2,,
4.4,,
2.8,,
3.6,,
4.2,,
5.6,,
5.8,,
5.2,,
4.0,,
3.0,,
5.8,,
2.4,,
6.0,,
4.8,,
5.2,,
3.2,,
6.0,,
4.8,,
5.2,,
6.0,,
2.6,,
6.2,,
4.8,,
2.8,,
3.6,,
3.0,,
4.6,,
5.2,,
2.8,,
6.0,,
5.4,,
5.6,,
4.0,,
3.6,,
6.4,,
4.0,,
4.0,,
3.4,,
5.2,,
4.2,,
4.0,,
5.4,,
5.6,,
5.4,,
4.8,,
4.0,,
2.8,,
3.6,,
4.8,,
4.2,,
3.6,,
4.8,,
7.0,,
5.0,,
2.4,,
4.8,,
4.6,,
